15/06/2023
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
538635	SNOWMAN LOGISTICS LIMITED	1670.87995
538646	QGO FINANCE LIMITED	69.52800
538647	Purshottam Investofin Limited	62.83575
538652	HIND COMMERCE LIMITED	30.00000
538653	EJECTA MARKETING LIMITED	145.76500
538666	Sharda Cropchem Limited	902.20495
538667	Sirohia & Sons Limited	102.55092
538668	Naysaa Securities Limited	108.61875
538674	City Online Services Limited	51.64700
538684	Encash Entertainment Limited	38.96496
538685	SHEMAROO ENTERTAINMENT LIMITED	271.82239
538686	Partani Appliances Limited	123.10200
538706	Ultracab (India) Limited	954.22500
538707	Rajasthan Cylinders & Containe	33.61595
538708	Econo Trade (India) Limited	186.69575
538713	Atishay Limited	109.81333
538714	Sangam Finserv Limited	93.22550
538715	Dhabriya Polywood Limited	108.24245
538716	Aryaman Capital Markets Limite	119.77126
538730	PDS LIMITED	1309.83220
538731	HANMAN FIT LIMITED	105.00000
538732	Vibrant Global Capital Limited	229.07380
538733	Starlit Power Systems Limited	100.64866
538734	CEINSYS TECH LIMITED	154.31397
538742	PANABYTE TECHNOLOGIES LIMITED	43.90000
538743	Mudunuru Limited	286.90500
538765	JLA Infraville Shoppers Limite	64.90000
538770	Crane Infrastructure Limited	72.42000
538771	Pincon Spirit Limited	440.86000
538772	Niyogin Fintech Limited	944.39325
538777	ASIA CAPITAL LIMITED	30.92000
538778	Kalyan Capitals Limited	525.13105
538786	Citizen Infoline Ltd.	53.97300
538787	Goenka Business & Finance Limi	130.00100
538788	Gilada Finance & Investments L	140.49200
538794	Jet Infraventure Limited	41.92000
538795	Shree Ajit Pulp And Paper Ltd.	53.56700
538812	Aanchal Ispat Limited	208.53750
538817	Captain Pipes Limited	1394.56800
538833	Anubhav Infrastructure Limited	214.14888
538834	JMJ Fintech Limited	124.00000
538835	INTELLECT DESIGN ARENA LIMITED	1358.32240
538836	Monte Carlo Fashions Limited	207.32064
538837	Jeevan Scientific Technology L	154.80215
538838	Indo Cotspin Limited	42.00500
538857	Scintilla Commercial & Credit	100.27777
538858	Camson Bio Technologies Ltd	299.99840
538860	PANAFIC INDUSTRIALS LTD	821.25000
538861	Amsons Apparels Limited	222.77000
538862	My Money Securities Ltd.	144.00300
538863	SRI AMARNATH FINANCE LIMITED	99.80000
538868	Continental Securities Limited	212.53000
538873	WINY COMMERCIAL AND FISCAL SER	78.74860
538874	NEXUS SURGICAL AND MEDICARE LI	54.71900
538875	SELLWIN TRADERS LIMITED	82.00000
538876	S.T. SERVICES LIMITED	50.00100
538881	Galada Finance Limited	30.00000
538882	Emerald Leasing Finance & Inve	301.43650
538890	M. K. Exim (India) Ltd.	269.11500
538891	MAGELLANIC CLOUD LIMITED	1168.79024
538894	Octal Credit Capital Ltd.	50.00900
538895	Mihika Industries Ltd.	100.00000
538896	Kanchi Karpooram Ltd.	43.43891
538897	Shri Niwas Leasing and Finance	39.97000
538902	Dhunseri Tea & Industries Ltd	105.07427
538918	Vani Commercials Limited	117.40620
538919	SKYLINE VENTURES INDIA  LIMITE	39.66668
538920	VINTAGE COFFEE AND BEVERAGES L	698.02273
538921	Raghuvansh Agrofarms Limited	119.17550
538922	COSYN Limited	75.00000
538923	SOFCOM SYSTEMS LIMITED	41.55000
538926	Naturite Agro Products Limited	52.96000
538928	Karnavati Finance Limited	1005.00000
538935	Abhishek Finlease limited	42.63900
538942	Mercantile Ventures Limited	1119.18195
538943	Sonal Mercantile Limited	147.38525
538952	Abhinav Leasing & Finance Limi	499.80000
538961	GENUS PAPER & BOARDS LIMITED	2571.25940
538962	Minda Corporation Limited	2390.79428
538963	Pact Industries Ltd.	554.08000
538964	Mercury Laboratories Limited	12.00000
538965	Concord Drugs Limited	93.15470
538970	WARDWIZARD INNOVATIONS AND MOB	2606.93875
538975	Shree Securities Ltd.	7980.00000
538979	Greenlam Industries Ltd	1269.92550
538987	TALBROS ENGINEERING LIMITED	50.76504
538992	Sar  Auto Products Limited	47.64740
538993	Purohit Construction Limited	44.05600
539005	JAYATMA ENTERPRISES LIMITED	30.00000
539006	PTC Industries Ltd.	133.82257
539008	Tirupati Fincorp Limited	49.44225
539009	GBL Industries Limited	50.00000
539010	Shri Mahalaxmi Agricultural De	203.22600
539011	CHENNAI FERROUS INDUSTRIES LIM	36.04509
539012	Megri Soft Limited	31.40700
539013	GITA RENEWABLE ENERGY LIMITED	41.12296
539014	Kalpa Commercial Limited	102.50000
539015	Ortel Communications Limited	329.76900
539016	Neil Industries Ltd.	195.53200
539017	STAR HOUSING FINANCE LIMITED	771.58266
539018	Beekay Steel Industries Ltd.	190.72052
539026	SSPN Finance Limited	37.86400
539032	Fraser And Company Limited	81.20300
539040	Tirupati Tyres Ltd.	34.43500
539041	SVP Housing Limited	111.79400
539042	AGI Infra Limited	122.16720
539043	BKM INDUSTRIES LIMITED	655.34050
539044	Manaksia Steels Limited	655.34050
539045	Manaksia Aluminium Company Ltd	655.34050
539046	Manaksia Coated Metals & Indus	655.34050
539056	IMAGICAAWORLD ENTERTAINMENT LI	4117.94538
539083	Inox Wind Limited	3259.48496
539090	Rajputana Investment and Finan	30.80000
539091	Consecutive Investments & Trad	30.07500
539096	Aananda Lakshmi Spinning Mills	34.99270
539097	UR SUGAR INDUSTRIES LIMITED	525.00000
539098	Filtra Consultants and Enginee	82.23000
539099	Athena Constructions Limited	75.00000
539110	Northlink Fiscal And Capital S	52.50000
539111	SHESHADRI INDUSTRIES LIMITED	49.59577
539112	SAB INDUSTRIES LIMITED	152.10078
539113	Paul Merchants Ltd.	10.28000
539115	Alan Scott Industries Ltd.	18.25377
539116	O. P. Chains Limited	68.50000
539117	Sujala Trading & Holdings Ltd.	57.21750
539118	VRL Logistics Limited	874.68495
539119	Jain Marmo Industries Ltd.	31.30600
539120	Bangalore Fort Farms Limited	47.99400
539121	Palco Metals Limited	40.00000
539122	Bodhtree Consulting Limited	199.58236
539123	V B INDUSTRIES LIMITED	131.07950
539124	Sarvottam Finvest Limited	75.00000
539126	MEP Infrastructure Developers	1834.46051
539131	Crescent Leasing Limited	40.66970
539132	Wardwizard Foods and Beverages	1955.40000
539141	UFO Moviez India Limited	383.24099
539143	PANTH INFINITY LIMITED	184.82228
539148	Shivalik Rasayan Ltd.	149.09230
539149	Integrated Capital Services Lt	355.84000
539150	PNC Infratech Limited	2565.39165
539151	Arfin India Limited	1589.24050
539167	Virat Leasing Limited	129.80500
539168	Spisys Limited	90.50000
539174	Helpage Finlease Ltd.	99.47500
539175	Indra Industries Ltd.	64.77070
539176	Hawa Engineers ltd.	35.26400
539177	Authum Investment & Infrastruc	1698.45100
539178	Positive Electronics Limited	32.00000
539189	Adhbhut Infrastructure Ltd.	110.00000
539190	Decillion Finance Ltd.	35.00000
539195	POCL ENTERPRISES LTD	55.75992
539196	Amba Enterprises Ltd.	126.60480
539197	Devhari Exports (India) Limite	742.83377
539198	Capfin India Limited	28.64700
539199	SG FINSERVE LIMITED	412.73000
539200	NOBLE POLYMERS LIMITED	64.79000
539201	SATIA INDUSTRIES LIMITED	1000.00000
539206	GENOMIC VALLEY BIOTECH LIMITED	30.54500
539207	Manpasand Beverages Limited	1144.62396
539216	GARMENT MANTRA LIFESTYLE LIMIT	1003.84050
539217	Srestha Finvest Limited	3300.00000
539218	Saumya Consultants Ltd.	69.06908
539219	MAURIA UDYOG LIMITED	1332.00000
539220	Mishka Exim Limited	144.50000
539221	Sportking India Ltd.	127.07200
539222	GROWINGTON VENTURES INDIA LIMI	158.97394
539223	Ambition Mica Limited	149.22000
539224	HCKK Ventures Limited	37.10000
539225	Jiya Eco-Products Limited	300.73262
539226	RUDRA GLOBAL INFRA PRODUCTS LI	250.85957
539227	Loyal Equipments Limited	102.00000
539228	Gala Global Products Limited	545.88083
539229	Majestic Research Services and	100.26000
539230	Chemiesynth (Vapi) Limited	30.70000
539246	Jyotirgamya Enterprises Limite	23.00000
539251	Balkrishna Paper Mills Ltd	107.39844
539252	Shyam Century Ferrous Limited	2121.72990
539253	Surya India Limited	69.85832
539254	Adani Transmission Limited	11154.92683
539255	STAR DELTA TRANSFORMERS LIMITE	30.00200
539265	Amrapali Fincap Limited	134.40000
539266	CONCRETE CREDIT LIMITED	75.22480
539267	SAMSRITA LABS LIMITED	148.08706
539268	Syngene International Limited	4020.15000
539273	PECOS Hotels And Pubs Limited	13.09875
539274	Boston Leasing and Finance Ltd	69.00000
539275	Mangalam Seeds Limited	109.80158
539276	Kaya Limited	130.64091
539277	Alstone Textiles (India) Limit	12748.00000
539278	Symbiox Investment & Trading C	312.87330
539287	Ortin Laboratories Limited	81.31392
539288	Avi Polymers Ltd.	40.90700
539289	Aurum PropTech Limited	286.29689
539290	Oswal Greentech Limited	2568.09159
539291	Vasudhagama Enterprises Limite	36.99114
539300	A.K. Spintex Ltd.	50.31750
539301	Arvind SmartSpaces Limited	453.11979
539302	Power Mech Projects Limited	149.06357
539304	Canopy Finance Limited	105.93001
539309	Rama Steel Tubes Limited	4658.22825
539310	THINKINK PICTUREZ LIMITED	296.28000
539311	Nishtha Finance And Investment	77.00000
539314	Universal Autofoundry Limited	121.12500
539331	VETO SWITCHGEARS AND CABLES LI	191.14955
539332	Navkar Corporation Limited	1505.19181
539334	Shree Pushkar Chemicals & Fert	316.25880
539335	CHPL Industries Ltd.	30.46588
539336	Gujarat Gas Limited	6883.90125
539337	WAAREE TECHNOLOGIES LIMITED	107.68139
539346	Sadbhav Infrastructure Project	3522.25216
539352	P. B. Films Limited	144.17625
539353	SAL AUTOMOTIVE LIMITED	23.97713
539354	POLYSPIN EXPORTS LIMITED	100.00000
539359	Pritika Auto Industries Limite	886.72500
539363	Sri Krishna Constructions (Ind	104.72000
539378	Soni Medicare Limited	42.64900
539383	Mahaveer Infoway Limited	55.09000
539384	Krishna Capital And Securities	31.58400
539391	Acme Resources Limited	257.44000
539393	Kabra Commercial Limited	29.40000
539398	Vishal Bearings Limited	107.91000
539399	Bella Casa Fashion & Retail Li	114.75000
539400	MALLCOM (INDIA) LTD.	62.40000
539401	Patdiam Jewellery Limited	43.17000
539402	Vaksons Automobiles Limited	105.20480
539403	Arambhan Hospitality Services	50.00000
539404	SATIN CREDITCARE NETWORK LIMIT	852.24125
539405	Decorous Investment and Tradin	34.50000
539406	Swagtam Trading & Services Lim	11.90500
539407	Generic Engineering Constructi	484.36219
539408	Kuber Udyog Limited	34.33000
539409	NEERAJ PAPER MARKETING LIMITED	110.00000
539410	MUZALI ARTS LIMITED	591.64667
539428	Tejnaksh Healthcare Limited	101.56800
539433	Indo-Global Enterprises Limite	63.70000
539434	Brilliant Portfolios Ltd.	31.01800
539435	Richfield Financial Services L	37.50100
539436	Coffee Day Enterprises Limited	2112.51719
539437	IDFC FIRST BANK LIMITED	66254.44564
539447	BEARDSELL LIMITED	374.65344
539448	InterGlobe Aviation Limited	3855.47099
539449	IGC Industries Limited	22.40000
539450	S H Kelkar and Company Limited	1384.20801
539455	ARYAVAN ENTERPRISE LIMITED	38.50400
539468	Typhoon Financial Services Lim	30.00600
539469	PANORAMA STUDIOS INTERNATIONAL	124.46750
539470	Shree Ganesh Biotech (India) L	3986.24000
539479	GTV Engineering Limited	31.23888
539486	Geetanjali Credit And Capital	44.19200
539488	Tirupati Fin-Lease Ltd.	30.04200
539492	Garbi Finvest Limited	117.30680
539494	Smart Finsec Limited	300.00000
539495	Rajkot Investment Trust Limite	10.00000
539506	Adcon Capital Services Limited	355.11000
539515	QUINT DIGITAL MEDIA LIMITED	470.28308
539518	Uday Jewellery Industries Limi	220.21900
539519	Mayukh Dealtrade Limited	84.00000
539520	Shailja Commercial Trade Frenz	32.49000
539521	Navigant Corporate Advisors Li	31.52750
539522	Grovy India Limited	33.34068
539523	Alkem Laboratories Limited	1195.65000
539524	Dr. Lal Pathlabs Limited	834.08877
539525	Navketan Merchants Limited	360.62100
539526	Suncare Traders Limited	1683.30000
539527	Creative Castings Limited	13.00000
539528	Aayush Food And Herbs Limited	32.45000
539533	ELITECON INTERNATIONAL LIMITED	12.10000
539542	LUX Industries Limited	300.71681
539543	Valley Magnesite Company Limit	10.50000
539544	Abhishek Infraventures Limited	50.49000
539545	Apoorva Leasing Finance & Inve	199.74900
539546	Beekay Niryat Limited	76.84237
539551	Narayana Hrudayalaya Limited	2043.60804
539552	F MEC INTERNATIONAL FINANCIAL	31.00700
539559	Deep Diamond India Limited	320.00000
539560	Abhijit Trading Co. Ltd.	14.66195
539561	REMEDIUM LIFECARE LIMITED	36.00000
539562	AARNAV FASHIONS LIMITED	422.38628
539570	ACEWIN AGRITECK LIMITED	102.63200
539574	Sunshine Capital Ltd.	130.20900
539584	SHARANAM INFRAPROJECT AND TRAD	500.01000
539593	Shivansh Finserv Limited	62.40000
539594	Mishtann Foods Limited	10000.00000
539596	Delta Industrial Resources Lim	53.93000
539598	CREDENT GLOBAL FINANCE LIMITED	69.37500
539599	Kotia Enterprises Limited	70.20500
539600	CHAMAK HOLDINGS LIMITED	32.45000
539607	Blue Cloud Softech Solutions L	581.00800
539620	KANORIA ENERGY AND INFRASTRUCT	852.91400
539621	BCL Enterprises Limited	1166.00000
539636	Precision Camshafts Limited	949.85835
539637	Blueblood Ventures Limited	30.01080
539658	TeamLease Services Limited	170.96769
539659	Vidli Restaurants Limited	108.25000
539660	BEST AGROLIFE LIMITED	236.44740
539661	ACE MEN ENGG WORKS LIMITED	30.98500
539662	BFL Asset Finvest Limited	102.03500
539669	RGF Capital Markets Limited	1500.24000
539673	Radhagobind Commercial Limited	144.00000
539678	Quick Heal Technologies Limite	530.73851
539679	Kapil Raj Finance Ltd.	65.92777
539680	Ganga Pharmaceuticals Limited	40.61500
539681	dynamic Archistructures Limite	50.10000
539682	LUCENT INDUSTRIES LIMITED	150.00000
539683	Shivkamal Impex Limited	10.05570
539686	K.P. Energy Limited	222.30000
539691	Real Growth Commercial Enterpr	40.00000
539692	INTERACTIVE FINANCIAL SERVICES	30.13100
539693	Alora Trading Company Limited	124.42500
539697	HILIKS TECHNOLOGIES LIMITED	50.79000
539724	HYPERSOFT TECHNOLOGIES LIMITED	42.51700
539725	Gokul Agro Resources Ltd	1475.43358
539730	Fredun Pharmaceuticals Limited	45.32272
539742	Simbhaoli Sugars Ltd	412.79020
539760	Relicab Cable Manufacturing Li	100.94662
539761	Vantage Knowledge Academy Limi	33.57500
539762	MODERN ENGINEERING AND PROJECT	30.90000
539767	Mega Nirman & Industries Limit	33.47500
539770	Darjeeling Ropeway Company Lim	30.50000
539773	Advik Capital Limited	2201.93280
539785	Pudumjee Paper Products Limite	949.50000
539787	HealthCare Global Enterprises	1391.16062
539788	Khemani Distributors & Marketi	229.74000
539798	Umiya Tubes Limited	100.06667
539799	Bharat Wire Ropes Limited	678.97473
539800	CHD Chemicals Limited	101.09080
539807	INFIBEAM AVENUES LIMITED	26777.81182
539814	LE LAVOIR LIMITED	32.40000
539819	Mudra Financial Services Ltd.	50.10000
539833	Shivom Investment & Consultanc	699.51325
539834	Balgopal Commercial limited	165.10000
539835	Superior Finlease Limited	300.10000
539836	Ruby Cables Limited	62.51000
539837	RAGHAV PRODUCTIVITY ENHANCERS	114.76300
539839	Franklin Leasing and Finance L	157.82400
539841	Lancer Container Lines Limited	615.54240
539843	NINtec Systems Limited	103.20000
539853	Golden Capital Services Limite	31.83600
539854	Halder Venture Limited	31.60700
539861	SKIL Infrastructure Limited	2165.71232
539864	Ghushine Fintrrade Ocean Limit	49.44900
539871	Thyrocare Technologies Limited	529.30043
539872	Bajaj Healthcare Limited	275.98400
539874	Ujjivan Financial Services Lim	1216.78094
539875	RSD Finance Limited	129.46480
539876	Crompton Greaves Consumer Elec	6396.79297
539883	Pilani Investment And Industri	110.72250
539884	Darshan Orna Limited	500.29335
539889	Parag Milk Foods Limited	1173.75841
539894	Madhav Infra Projects Limited	2695.81560
539895	Shalimar Agencies Limited	30.01000
539900	DALMIA INDUSTRIAL DEVELOPMENT	202.47500
539910	Kome-on Communication Limited	150.08107
539911	Svarnim Trade Udyog Limited	24.31500
539917	NAGARJUNA FERTILIZERS AND CHEM	5980.65003
539921	Shanti Educational Initiatives	1610.00000
539922	Rotographics (India) Limited	36.01300
539927	LIKHAMI CONSULTING LIMITED	99.50000
539938	Medico Intercontinental Limite	100.00000
539939	Yash Chemex Limited	102.43425
539940	Max Ventures and Industries Li	1471.34544
539946	Bazel International Limited	19.50500
539947	JINDAL LEASEFIN LIMITED	30.08900
539956	TAAL Enterprises Limited	31.16342
539957	Mahanagar Gas Limited	987.77778
539962	Quest Financial Services Ltd.	1233.16500
539963	Zeal Aqua Limited	1260.66000
539978	Quess Corp Limited	1482.29488
539979	DIGJAM LIMITED	200.00000
539982	Advance Syntex Limited	110.97109
539983	SIDH AUTOMOBILES LIMITED	29.62300
539984	HINDUSTHAN URBAN INFRASTRUCTUR	14.42885
539985	Titaanium Ten Enterprise Limit	67.28507
539986	Commercial Syn Bags Limited	399.52200
539991	CONFIDENCE FUTURISTIC ENERGETE	250.20000
539992	LLOYDS STEELS INDUSTRIES LIMIT	10636.98382
539997	Kwality Pharmaceuticals Limite	103.76198
540005	LTIMindtree Limited	2958.85357
540006	EAST WEST HOLDINGS LIMITED	1230.88836
540023	COLORCHIPS NEW MEDIA LIMITED	850.49500
540024	ASHARI AGENCIES LIMITED	85.78500
540025	Advanced Enzyme Technologies L	1118.24075
540026	Ladam Affortable Housing Limit	183.04600
540027	PRABHAT TECHNOLOGIES (INDIA) L	107.06277
540047	Dilip Buildcon Limited	1462.14971
540048	S.P. Apparels Limited	250.92600
540061	Bigbloc Construction Limited	707.87875
540062	Golden Crest Education & Servi	52.45000
540063	ECS Biztech Limited	205.55047
540064	Future Retail Ltd.	5422.84079
540065	RBL Bank Limited	5995.69563
540066	AMS POLYMERS LIMITED	33.02500
540071	Camson Seeds Limited	299.99840
540072	Shiva Granito Export Limited	132.15050
540073	BLS International Services Ltd	4108.20000
540078	Mitsu Chem Plast Limited	120.72600
540079	Sprayking Agro Equipment Limit	105.67946
540080	Narayani Steels Limited	108.95450
540081	Sab Events & Governance Now Me	104.83711
540082	Riddhi Steel and Tube Limited	82.90252
540083	TV VISION LIMITED	367.44500
540084	Spicy Entertainment and Media	165.11250
540097	Visco Trade Associates Ltd	48.02800
540108	TIAAN CONSUMER LIMITED	102.69015
540115	L&T Technology Services Limite	1056.24692
540124	G N A Axles Limited	214.65400
540125	Radhika Jeweltech Limited	1180.00000
540132	Sabrimala Industries India Lim	87.14500
540133	ICICI Prudential Life Insuranc	14385.81656
540134	ISHAAN INFRASTRUCTURE AND SHEL	64.74600
540135	ARC Finance Limited	5049.50000
540136	HPL Electric & Power Limited	643.00486
540143	Sagarsoft (India) Limited	63.92238
540144	DRA CONSULTANTS LIMITED	109.70000
540145	Valiant Organics Limited	271.53488
540146	ADITYA CONSUMER MARKETING LIMI	146.33887
540147	Shashijit Infraprojects Limite	103.44000
540148	Bindal Exports Limited	46.00400
540150	Mewar Hi-Tech Engineering Limi	39.03600
540151	Diksat Transworld Limited	175.42875
540152	India Green Reality Limited	127.10000
540153	Endurance Technologies Limited	1406.62848
540159	Purple Entertainment Limited	86.45965
540168	SUPRA PACIFIC MANAGEMENT CONSU	128.28975
540173	PNB Housing Finance Limited	2595.43696
540174	Southern Infosys Limited	50.20000
540175	REGENCY FINCORP LIMITED	106.85728
540180	Varun Beverages Limited	12991.16064
540181	Salem Erode Investments Ltd.	114.65520
540189	Unipro Technologies Limited	60.84900
540190	Franklin Industries Limited	36.15000
540192	LKP Securities Limited	783.85842
540198	OSIAJEE TEXFAB LIMITED	54.00000
540199	Corporate Merchant Bankers Lim	33.00000
540203	Sheela Foam Limited	975.65616
540204	EIKO LIFESCIENCES LIMITED	83.16267
540205	Aditya Vision Limited	120.28500
540210	Heads UP Ventures Limited	220.82609
540211	Sparkling (India) Finshares Li	40.00500
540212	TCI Express Limited	383.11650
540221	Shashank Traders Limited	30.93800
540222	Laurus Labs Limited	5386.50925
540243	NEW LIGHT APPARELS LIMTED	21.96230
540252	VEERAM SECURITIES LIMITED	756.40852
540253	Shree Nidhi Trading Co. Ltd.	77.93700
540254	MARG TECHNO PROJECTS LIMITED	60.00000
540259	SHANGAR DECOR LIMITED	122.40400
540266	Globe Commercials Limited	60.02000
540267	Flora Corporation Limited	87.33875
540268	TruCap Finance Limited	1162.72891
540269	SUPER FINE KNITTERS LIMITED	123.93070
540270	Raideep Industries Limited	55.08000
540293	Pricol Limited	1218.81498
540310	Classic Filaments Limited	61.13350
540311	JITF INFRALOGISTICS LIMITED	257.03706
540318	Sueryaa Knitwear Limited	25.97800
540332	Tanvi Foods (India) Limited	53.66775
540358	RMC SWITCHGEARS LIMITED	68.72200
540359	Parmax Pharma Limited	37.41300
540360	LEADING LEASING FINANCE AND IN	533.50000
540361	DANUBE INDUSTRIES LIMITED	300.00000
540366	Music Broadcast Limited	3456.85625
540376	Avenue Supermarts Limited	6503.73703
540377	IFL ENTERPRISES LIMITED	2274.03880
540385	KD LEISURES LIMITED	32.40000
540386	Ontic Finserve Limited	900.03000
540393	Sarthak Metals Limited	136.89750
540394	Jash Dealmark Limited	99.70002
540395	Chemcrux Enterprises Limited	148.08840
540396	Manomay Tex India Limited	180.48735
540401	Maximus International Limited	1257.20000
540402	Manas Properties Limited	41.60000
540403	CL Educate Limited	550.83488
540404	PRIME FRESH LIMITED	125.22948
540405	Oceanic Foods Limited	112.50000
540416	Octaware Technologies Limited	35.90570
540425	Shankara Building Products Lim	228.49326
540426	Relstruct Buildcon Limited	146.71000
540455	Escorp Asset Management Limite	111.16651
540467	PARMESHWARI SILK MILLS LIMITED	30.01100
540468	KMS Medisurgi Limited	33.00000
540481	Classic Leasing & Finance Ltd.	30.00200
540492	STARLINEPS ENTERPRISES LIMITED	432.30000
540497	S Chand And Company Limited	352.17336
540515	KANUNGO FINANCIERS LIMITED	46.34000
540519	Meera Industries Limited	106.78796
540526	IRB InvIT Fund	5805.00000
540530	Housing &Urban Development Cor	20019.00000
540544	PSP Projects Limited	360.00000
540545	Bhakti Gems And Jewellery Limi	100.26345
540550	Yug Decor Limited	62.54649
540565	India Grid Trust	7001.78485
540570	VARIMAN GLOBAL ENTERPRISES LIM	1945.81000
540575	Star Cement Limited	4041.80417
540590	Riddhi Corporate Services Limi	118.67000
540595	Tejas Networks Limited	1692.67571
540596	Eris Lifesciences Limited	1359.93292
540597	Containerway International Lim	65.37200
540602	GTPL Hathway Limited	1124.63038
540611	AU Small Finance Bank Limited	6669.30500
540613	Gautam Exim Limited	30.81000
540614	G G Engineering Limited	3806.78585
540615	7NR Retail Limited	2800.68000
540642	Salasar Techno Engineering Lim	3157.05280
540647	Ganges Securities Ltd.	100.03687
540648	Palash Securities Limited	100.03102
540649	AVADH SUGAR & ENERGY LIMITED	200.18420
540650	Magadh Sugar & Energy Limited	140.91630
540651	Jigar Cables Limited	70.32000
540652	Captain Technocast Limited	102.10050
540653	Sintex Plastics Technology Ltd	6361.44446
540654	GlobalSpace Technologies Limit	114.56601
540673	SIS LIMITED	1457.29441
540678	Cochin Shipyard Limited	1315.40390
540679	SMS Lifesciences India Ltd	30.23287
540680	KIOCL Limited	6077.51096
540681	CHOTHANI FOODS LIMITED	51.60000
540686	Smruthi Organics Limited	114.46290
540691	Aditya Birla Capital Ltd	24189.83418
540692	Apex Frozen Foods Limited	312.50000
540693	Shish Industries Limited	113.97133
540694	ANG Lifesciences India Limited	130.58287
540695	Dhruv Wellness Limited	105.39850
540696	KCD INDUSTRIES INDIA LIMITED	100.00000
540697	A & M Febcon Limited	128.13205
540698	Nouritrans Exim Limited	60.96114
540699	Dixon Technologies (India) Lim	595.60165
540700	Bharat Road Network Limited	839.50000
540701	Dishman Carbogen Amcis Limited	1567.83095
540702	Lasa Supergenerics Limited	501.01239
540703	PRO CLB GLOBAL LIMITED	51.03000
540704	Matrimony.com Limited	222.56961
540709	Reliance Home Finance Limited	4845.65613
540710	Capacit'e Infraprojects Limite	678.91497
540715	Sagar Diamonds Limited	126.43780
540716	ICICI Lombard General Insuranc	4911.58333
540717	Polo Queen Industrial and Fint	3357.50000
540718	AKM CREATIONS LIMITED	30.12175
540719	SBI Life Insurance Company Lim	10009.01686
540724	Prataap Snacks Limited	238.59592
540725	Share India Securities Limited	326.69719
540726	Trident Texofab Limited	100.70100
540727	Poojawestern Metaliks Limited	101.42000
540728	Sayaji Industries Limited	63.20000
540729	Vanta Bioscience Limited	63.12000
540730	Mehai Technology  Limited	107.10000
540735	IRIS Business Services Limited	193.61162
540736	Siddharth Education Services L	115.99500
540737	Shree Ganesh Remedies Limited	120.06727
540738	Shreeji Translogistics Limited	524.12625
540743	Godrej Agrovet Limited	1922.06974
540744	MIDEAST INTEGRATED STEELS LIMI	1378.75000
540749	MAS Financial Services Limited	546.62043
540750	Indian Energy Exchange Limited	8916.92735
540755	General Insurance Corporation	17544.00000
540756	Kaarya Facilities and Services	93.50258
540757	SHEETAL COOL PRODUCTS LIMITED	105.00000
540762	Tube Investments of India Ltd	1932.60791
540767	NIPPON LIFE INDIA ASSET MANAGE	6232.02756
540768	Mahindra Logistics Limited	720.36151
540769	The New India Assurance Compan	16480.00000
540774	IFGL Refractories Limited	360.39312
540775	Khadim India Limited	179.69614
540776	5paisa Capital Limited	306.35568
540777	HDFC LIFE INSURANCE COMPANY LI	21496.44230
540782	Sanghvi Brands Limited	104.15880
540786	SHARIKA ENTERPRISES LIMITED	433.00000
540788	Aspira Pathlab & Diagnostics L	102.93000
540789	Diligent Media Corporation Lim	1177.08018
540790	Eastern Gases Limited	150.00000
540795	Dynamic Cables Limited	220.14000
540796	Ratnabhumi Developers Limited	137.00000
540797	Shalby Limited	1080.09770
540798	Future Supply Chain Solutions	438.83598
540809	MRC AGROTECH LIMITED	104.20900
540811	Diggi Multitrade Limited	96.77500
540812	Kids Medical Systems Limited	70.91099
540821	SADHNA BROADCAST LTD	1002.65430
540823	Vitesse Agro Limited	45.18456
540824	Astron Paper & Board Mill Limi	465.00000
540829	Chandrima Mercantiles limited	22.11300
540843	Rithwik Facility Management Se	30.60000
540850	Jhandewalas Foods Limited	102.60358
540874	7SEAS ENTERTAINMENT LIMITED	151.35900
540879	Apollo Micro Systems Limited	2076.38860
540900	Newgen Software Technologies L	699.55701
540901	Praxis Home Retail Limited	756.70112
540902	Amber Enterprises India Limite	336.93731
540903	CRP Risk Management Limited	174.84900
540904	TIRUPATI FOAM LIMITED	44.07000
540914	SRU Steels Limited	119.87850
540923	Ashoka Metcast Limited	249.96000
540935	Galaxy Surfactants Limited	354.54752
540936	Gautam Gems Limited	100.67059
540937	MEDICO REMEDIES LIMITED	829.84000
540938	Gujarat Hy-Spin Limited	167.50000
540945	Focus Suites Solutions & Servi	133.49971
540952	LORENZINI APPARELS LIMITED	101.38916
540953	Kenvi Jewels Limited	1263.80174
540954	The Indian Wood Products Co. L	639.72720
540955	Tasty Dairy Specialities Limit	204.30000
540956	Bhatia Communications & Retail	1251.52000
540961	Shiva Mills Limited	86.41808
540975	Aster DM Healthcare Limited	4995.13060
540980	The Yamuna Syndicate Ltd	3.07365
541005	KANCO TEA & INDUSTRIES LIMITED	51.22827
541006	Angel Fibers Limited	250.00000
541019	H.G. Infra Engineering Limited	651.71111
541083	Inflame Appliances Limited	73.41000
541096	Bharat Parenterals Limited	57.74666
541112	Shreeshay Engineers Limited	132.03396
541133	APEX CAPITAL AND FINANCE LIMIT	59.19978
541143	Bharat Dynamics Limited	1832.81250
541144	Active Clothing Co  Limited	155.12215
541151	Ridings Consulting Engineers I	124.40000
541152	GOYAL ALUMINIUMS LIMITED	1427.32780
541153	Bandhan Bank Limited	16108.55171
541154	Hindustan Aeronautics Limited	3343.87500
